Kode,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
346,P,18,F→G,4,4,4,3,4,4,3,2,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,4
403,L,17,F→G,5,5,5,5,5,4,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,4,5,4
251,P,18,F→G,5,5,2,1,4,3,1,2,5,5,2,1,4,3,3,2,4,4,2,3,5,5,1,2,4,4,1,1,5,4,4,4
124,L,17,F→G,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
575,P,18,F→G,5,5,2,1,5,5,1,1,4,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,3,4,1,1,5,5,4,4
315,P,17,F→G,4,4,3,3,4,4,2,2,3,3,2,2,4,4,4,3,4,3,3,2,4,4,2,2,4,4,2,2,4,4,4,3
35,P,17,F→G,3,5,3,2,4,3,2,1,4,4,2,4,4,4,1,3,3,4,2,2,4,4,2,2,4,4,3,2,5,4,4,5
212,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
530,P,17,F→G,4,4,2,2,4,4,2,2,5,5,2,2,4,4,1,1,4,4,2,1,5,5,2,2,4,4,1,2,4,5,5,5
328,L,18,F→G,4,5,1,1,5,5,1,1,5,5,1,5,4,5,1,5,5,5,4,1,5,5,1,1,5,5,5,1,5,5,2,2
490,P,17,G→F,5,5,3,2,5,5,1,1,5,5,1,2,3,3,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,2,2
26,L,17,F→G,4,3,2,3,3,3,2,2,3,3,4,2,4,4,2,2,2,3,4,4,4,4,2,2,3,3,3,3,4,4,3,3
220,P,17,F→G,4,4,4,4,5,5,3,2,5,4,3,4,5,4,3,3,3,4,3,3,5,5,2,2,5,5,5,3,5,5,5,5
66,P,17,F→G,3,4,2,2,5,5,1,1,5,4,1,1,3,4,2,2,3,5,2,2,5,5,1,1,4,4,1,3,5,4,5,4
362,P,17,F→G,3,5,1,1,5,3,1,5,5,5,5,5,3,3,5,3,3,5,3,3,5,5,5,3,5,4,1,3,5,4,5,5
62,P,17,G→F,3,3,1,3,4,4,1,1,4,3,4,1,3,3,4,3,3,3,3,3,4,4,3,1,4,4,3,1,4,3,4,3
27,P,17,F→G,3,3,4,1,5,3,1,1,4,5,1,1,5,5,1,1,3,5,3,3,4,5,3,1,4,4,3,1,3,5,1,1
210,L,17,G→F,4,4,4,4,4,4,4,4,4,3,4,3,4,3,5,4,5,3,5,3,4,3,4,4,4,3,4,3,4,3,4,4
81,P,17,G→F,3,2,3,2,3,2,2,2,4,2,1,2,4,2,1,2,4,2,3,2,4,2,2,2,3,2,3,2,5,2,1,2
445,L,17,G→F,4,4,3,2,4,4,2,2,4,4,4,4,4,5,4,2,4,4,2,2,4,4,2,2,4,2,2,2,4,4,4,4
215,P,17,F→G,4,5,2,2,4,5,2,2,5,4,1,1,5,4,2,2,4,5,2,1,4,5,1,1,1,4,2,1,5,5,5,5
318,P,17,F→G,4,5,4,1,5,5,1,5,5,4,1,1,5,5,5,5,5,1,1,1,5,5,1,1,5,5,1,1,5,5,5,5
142,P,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
426,L,19,F→G,3,4,4,2,5,4,1,4,5,4,1,1,5,5,2,1,4,4,2,3,4,4,1,2,3,3,2,1,5,5,4,4
557,P,17,F→G,4,5,2,2,5,5,1,2,5,5,1,2,5,5,1,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,3,2
531,P,17,F→G,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
134,L,17,G→F,3,4,2,1,4,5,1,1,5,4,1,1,5,5,2,2,4,5,2,1,5,4,1,1,3,3,1,2,5,5,4,4
60,P,17,G→F,4,5,4,4,5,5,1,1,5,5,1,1,5,4,4,2,4,4,3,2,5,5,1,1,4,3,3,2,5,5,5,5
220,P,17,G→F,4,5,3,3,5,3,2,2,5,4,3,3,4,5,3,3,5,4,3,2,5,4,2,2,5,3,2,2,5,5,5,5
