csv_row,id,respondent_id_text,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
2,0106a78d-2954-4800-a9e2-efc7acb587e6,346,,18,,4,4,4,3,4,4,3,2,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,4
3,01229bb6-5bff-4a0f-9050-e29333b71f4a,403,,17,,5,5,5,5,5,4,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,4,5,4
4,0294836b-c778-4a49-9e37-111ee09486c1,251,,18,,5,5,2,1,4,3,1,2,5,5,2,1,4,3,3,2,4,4,2,3,5,5,1,2,4,4,1,1,5,4,4,4
5,03d076db-16f5-4a1c-94ca-a8b5382447bc,124,,17,,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,045ffbe2-0ae4-4aa6-861a-6bea7791af0d,575,,18,,5,5,2,1,5,5,1,1,4,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,3,4,1,1,5,5,4,4
7,054e01d7-800b-4c61-9d0b-45b81750bf51,315,,17,,4,4,3,3,4,4,2,2,3,3,2,2,4,4,4,3,4,3,3,2,4,4,2,2,4,4,2,2,4,4,4,3
8,0573feef-3229-44a2-a520-efd6172a948e,35,,17,,3,5,3,2,4,3,2,1,4,4,2,4,4,4,1,3,3,4,2,2,4,4,2,2,4,4,3,2,5,4,4,5
9,0622fa59-6d8a-4d34-97f7-20aee4483cac,212,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
10,06a79066-db9c-4036-9e2c-051f4a028aa9,530,,17,,4,4,2,2,4,4,2,2,5,5,2,2,4,4,1,1,4,4,2,1,5,5,2,2,4,4,1,2,4,5,5,5
11,06f7d57a-4487-4fa6-9810-29d6d36f95b3,328,,18,,4,5,1,1,5,5,1,1,5,5,1,5,4,5,1,5,5,5,4,1,5,5,1,1,5,5,5,1,5,5,2,2
12,073d3a92-bd3d-435b-8dfa-aa1e7ac886b2,490,,17,,5,5,3,2,5,5,1,1,5,5,1,2,3,3,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,2,2
13,079f6dd5-fabd-4588-ae04-e6c1b6ce5c41,26,,17,,4,3,2,3,3,3,2,2,3,3,4,2,4,4,2,2,2,3,4,4,4,4,2,2,3,3,3,3,4,4,3,3
14,0832a58e-f00c-4231-9fa8-03a55f3a04cc,220,,17,,4,4,4,4,5,5,3,2,5,4,3,4,5,4,3,3,3,4,3,3,5,5,2,2,5,5,5,3,5,5,5,5
15,08daa234-2367-4059-9937-90a2eff70606,66,,17,,3,4,2,2,5,5,1,1,5,4,1,1,3,4,2,2,3,5,2,2,5,5,1,1,4,4,1,3,5,4,5,4
16,0974b85e-ffd6-4a77-a030-740093708a6f,362,,17,,3,5,1,1,5,3,1,5,5,5,5,5,3,3,5,3,3,5,3,3,5,5,5,3,5,4,1,3,5,4,5,5
17,09a28d11-6488-4f79-b198-bddafb3e2003,62,,17,,3,3,1,3,4,4,1,1,4,3,4,1,3,3,4,3,3,3,3,3,4,4,3,1,4,4,3,1,4,3,4,3
18,0a436fad-6657-4455-a592-1f1c6723b55d,27,,17,,3,3,4,1,5,3,1,1,4,5,1,1,5,5,1,1,3,5,3,3,4,5,3,1,4,4,3,1,3,5,1,1
19,0b209b64-c8f5-4a34-9b5d-b44b59e29be8,210,,17,,4,4,4,4,4,4,4,4,4,3,4,3,4,3,5,4,5,3,5,3,4,3,4,4,4,3,4,3,4,3,4,4
20,0bd3b9e9-3492-4d44-bc1e-8adafe498dbd,81,,17,,3,2,3,2,3,2,2,2,4,2,1,2,4,2,1,2,4,2,3,2,4,2,2,2,3,2,3,2,5,2,1,2
21,0c8bcafb-6e9a-490b-815d-b10bebd5e9c4,445,,17,,4,4,3,2,4,4,2,2,4,4,4,4,4,5,4,2,4,4,2,2,4,4,2,2,4,2,2,2,4,4,4,4
22,0ccf4a13-b0b5-4b1b-a861-bdd4d134d6bb,215,,17,,4,5,2,2,4,5,2,2,5,4,1,1,5,4,2,2,4,5,2,1,4,5,1,1,1,4,2,1,5,5,5,5
23,0d57c6b2-d82c-4dec-ac25-6c253d8fad79,318,,17,,4,5,4,1,5,5,1,5,5,4,1,1,5,5,5,5,5,1,1,1,5,5,1,1,5,5,1,1,5,5,5,5
24,0da46ff4-163e-4d78-a3bb-02b2f37c79bf,142,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,0e303234-a951-4a3c-8472-c8c0717c8586,426,,19,,3,4,4,2,5,4,1,4,5,4,1,1,5,5,2,1,4,4,2,3,4,4,1,2,3,3,2,1,5,5,4,4
26,0fb4d9bc-dde5-41c3-bab7-5aec213bb1b3,557,,17,,4,5,2,2,5,5,1,2,5,5,1,2,5,5,1,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,3,2
27,1053746a-d5d2-49c8-95b4-640473cd259c,531,,17,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
28,10a1fd31-414f-4339-911a-e226ff4cb5e7,134,,17,,3,4,2,1,4,5,1,1,5,4,1,1,5,5,2,2,4,5,2,1,5,4,1,1,3,3,1,2,5,5,4,4
29,11266021-7aba-4d7c-bff5-c66bf7d1873f,60,,17,,4,5,4,4,5,5,1,1,5,5,1,1,5,4,4,2,4,4,3,2,5,5,1,1,4,3,3,2,5,5,5,5
30,1173ecaf-a768-453b-98ea-7dcb60cdd8da,220,,17,,4,5,3,3,5,3,2,2,5,4,3,3,4,5,3,3,5,4,3,2,5,4,2,2,5,3,2,2,5,5,5,5
31,119e2175-efc6-4c68-b0de-a0fe8916a3fe,235,,18,,5,5,2,1,5,3,1,1,5,5,1,1,5,5,2,3,5,4,1,2,5,4,1,1,5,4,1,1,5,3,4,4
32,11a50c99-295b-496a-a5ce-c7401be6154d,550,,17,,3,3,3,3,3,3,3,3,4,3,2,3,4,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
33,11c25945-a532-475e-9c6b-ca972079044c,394,,17,,4,4,3,2,4,4,2,1,4,4,4,1,4,4,1,1,4,4,2,2,4,4,2,2,4,4,1,1,5,5,4,3
34,12bf2316-cb1c-4b2a-b8d9-18c5fa7f69d7,245,,17,,5,5,4,1,3,5,1,1,4,5,4,1,4,5,2,1,5,5,2,1,4,5,2,1,4,5,4,1,5,5,5,1
35,1368a645-8d5d-42a1-9052-32aa5190d967,255,,17,,5,4,2,3,4,4,1,1,5,5,1,1,4,4,2,2,4,4,2,2,4,4,1,1,5,4,2,2,5,5,5,5
36,13728bd9-cc06-4520-8441-8a79a42b30ca,169,,17,,4,4,2,1,3,1,1,3,5,5,1,1,5,3,2,2,3,4,2,1,4,4,2,1,3,4,1,1,4,4,3,3
37,14357745-e383-49b7-8561-ab0867f3915f,407,,17,,4,4,3,2,4,4,2,2,4,4,2,2,4,4,3,3,4,4,3,2,4,4,2,2,4,3,2,2,4,4,3,2
38,14f41a2e-0c56-46e2-861d-835d4819587d,433,,17,,4,4,2,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,4,4
39,1507e129-2fe1-4541-bc6b-8968c0289d1c,140,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,3,3
40,15a57dee-8584-46cb-8252-4d8c5af8b8ed,170,,17,,4,5,1,1,4,5,1,1,4,5,2,1,4,5,2,1,4,5,2,1,5,5,2,1,5,5,1,1,5,5,2,1
41,16645e9e-f89c-4fa9-ac04-665365cc598a,479,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
42,16bb8909-14e8-42f3-84be-c877bcf4a598,476,,17,,4,3,2,1,4,4,2,1,4,5,1,2,5,3,1,1,5,4,2,2,2,4,3,1,5,2,2,2,5,5,5,5
43,16cd147a-2ba9-4ab5-bf71-54b64854ad95,457,,18,,3,3,3,2,4,3,1,1,4,3,1,1,3,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1
44,173c4130-a202-4b77-ac0c-089c85ab27a4,8,,17,,4,3,2,2,3,4,2,2,4,3,2,2,4,4,2,2,4,4,2,2,3,4,2,2,3,4,2,2,3,4,2,2
45,175c5149-4cfc-47a7-abcc-09caf1811680,146,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
46,177885cf-811e-448d-a4b4-58047ba07aa2,329,,17,,5,5,3,3,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,1
47,1990cb57-b9cb-4f4c-a24c-f2c0eaaeeb66,142,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
48,19ebde73-4bf4-436a-add3-28ac9f2d1b9a,145,,18,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
49,1a2fc22c-f319-4dc0-aca5-da9fde23ebf6,51,,17,,5,5,1,1,5,5,1,1,5,5,1,5,5,5,1,1,5,5,2,2,5,5,1,1,5,5,1,1,5,5,5,5
50,1aa71a9f-1eb2-4f1a-a87d-c177c680dbf8,285,,17,,3,4,3,1,3,4,2,1,3,5,1,1,4,5,2,3,4,4,4,3,5,5,2,1,4,5,1,1,4,4,4,4
51,1ae630f9-f77f-486b-a2fe-45b9986291c9,304,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
52,1bcf70bf-88c3-49c3-a413-fcc0f218afda,115,,17,,4,4,3,2,4,4,2,2,4,4,2,4,3,3,2,3,4,4,3,2,4,4,2,2,3,3,3,3,3,4,4,4
53,1d265d5a-f0e5-4d47-8ba5-2039255048a0,222,,17,,4,5,3,3,4,4,2,2,4,5,2,2,3,3,3,4,5,4,2,3,5,4,2,2,3,4,2,2,4,4,4,4
54,1dbfb68d-2489-4e48-ab2f-a0cc9be70352,64,,18,,5,5,3,2,5,5,2,2,5,5,2,2,5,5,1,2,5,5,1,2,5,2,1,2,5,5,1,2,5,5,5,5
55,1deea36d-6e13-4cb1-a1e4-429af88a6f26,522,,18,,4,5,2,2,5,5,1,1,5,5,1,1,3,3,1,2,5,5,2,1,4,5,1,2,5,5,1,1,4,5,3,3
56,1f4a40fc-1691-4f35-a483-747efd907e8d,508,,17,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
