source_id,respondent_id_text,usia,gender,jk,urutan_raw,urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16,formal_cuq_0_100,genz_cuq_0_100,diff_genz_minus_formal
0106a78d-2954-4800-a9e2-efc7acb587e6,346,18,Perempuan,P,Formal → Gen-Z,F→G,4,4,2,3,4,4,3,4,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,2,60.9375,62.5,1.5625
01229bb6-5bff-4a0f-9050-e29333b71f4a,403,17,Laki-laki,L,Formal → Gen-Z,F→G,5,5,1,1,5,4,1,2,5,5,1,2,5,4,1,1,5,5,1,2,5,4,1,2,5,5,1,1,5,4,1,2,50.0,51.5625,1.5625
0294836b-c778-4a49-9e37-111ee09486c1,251,18,Perempuan,P,Formal → Gen-Z,F→G,5,5,4,5,4,3,5,4,5,5,4,5,4,3,3,4,4,4,4,3,5,5,5,4,4,4,5,5,5,4,2,2,81.25,76.5625,-4.6875
03d076db-16f5-4a1c-94ca-a8b5382447bc,124,17,Laki-laki,L,Formal → Gen-Z,F→G,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,51.5625,50.0,-1.5625
045ffbe2-0ae4-4aa6-861a-6bea7791af0d,575,18,Perempuan,P,Formal → Gen-Z,F→G,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,4,5,5,5,5,2,2,87.5,93.75,6.25
054e01d7-800b-4c61-9d0b-45b81750bf51,315,17,Perempuan,P,Formal → Gen-Z,F→G,4,4,3,3,4,4,4,4,3,3,4,4,4,4,2,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,3,64.0625,67.1875,3.125
0573feef-3229-44a2-a520-efd6172a948e,35,17,Perempuan,P,Formal → Gen-Z,F→G,3,5,3,4,4,3,4,5,4,4,4,2,4,4,5,3,3,4,4,4,4,4,4,4,4,4,3,4,5,4,2,1,68.75,67.1875,-1.5625
0622fa59-6d8a-4d34-97f7-20aee4483cac,212,17,Perempuan,P,Formal → Gen-Z,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100.0,100.0,0.0
06a79066-db9c-4036-9e2c-051f4a028aa9,530,17,Perempuan,P,Formal → Gen-Z,F→G,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,5,4,4,5,1,1,76.5625,78.125,1.5625
06f7d57a-4487-4fa6-9810-29d6d36f95b3,328,18,Laki-laki,L,Formal → Gen-Z,F→G,4,5,5,5,5,5,5,5,5,5,5,1,4,5,5,1,5,5,2,5,5,5,5,5,5,5,1,5,5,5,4,4,84.375,85.9375,1.5625
073d3a92-bd3d-435b-8dfa-aa1e7ac886b2,490,17,Perempuan,P,Gen-Z → Formal,G→F,5,5,3,4,5,5,5,5,5,5,5,4,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,90.625,92.1875,1.5625
079f6dd5-fabd-4588-ae04-e6c1b6ce5c41,26,17,Laki-laki,L,Formal → Gen-Z,F→G,4,3,4,3,3,3,4,4,3,3,2,4,4,4,4,4,2,3,2,2,4,4,4,4,3,3,3,3,4,4,3,3,57.8125,59.375,1.5625
0832a58e-f00c-4231-9fa8-03a55f3a04cc,220,17,Perempuan,P,Formal → Gen-Z,F→G,4,4,2,2,5,5,3,4,5,4,3,2,5,4,3,3,3,4,3,3,5,5,4,4,5,5,1,3,5,5,1,1,64.0625,65.625,1.5625
